Leasing,Spalanie W Cyklu Mieszanym,Generacja,Skrzynia biegów,Rok produkcji,Kierownica po prawej (Anglik),Pojemność skokowa,Pojemność baterii,Liczba pozostałych rat,Kraj pochodzenia,Opłata początkowa,Oferta od,Rodzaj paliwa,Wartość wykupu,Zarejestrowany jako zabytek,Rodzaj koloru,Moc,Rodzaj własności baterii,Gwarancja dealerska (w cenie),Napęd,Tuning,Kolor,Bezwypadkowy,Przebieg,Możliwość finansowania,Ma numer rejestracyjny,Data pierwszej rejestracji w historii pojazdu,Homologacja ciężarowa,Spalanie Poza Miastem,Model pojazdu,Liczba drzwi,VAT marża,Faktura VAT,Numer rejestracyjny pojazdu,Emisja CO2,Autonomia,Stan,Cena,lub do (przebieg km),Wersja,Miesięczna rata,Zarejestrowany w Polsce,Okres gwarancji producenta,Pokaż oferty z numerem VIN,Pierwszy właściciel (od nowości),Serwisowany w ASO,Liczba miejsc,Marka pojazdu,Spalanie W Mieście,Uszkodzony,Średnie zużycie,Typ nadwozia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,II (2012-),Manualna,2018,,1 598 cm3,,,Polska,,Prywatne,Benzyna,,,Metalik,132 KM,,,Na przednie koła,,Biały,,111 500 km,,Tak,,,,Auris,5,,,,136 g/km,,Używane,53 900,,1.6 Active,,Tak,,Tak,Tak,Tak,5,Toyota,,,,Kombi
,,,Automatyczna,2024,,1 969 cm3,,,,,Firma,Benzyna,,,Metalik,163 KM,,,Na przednie koła,,Czarny,Tak,1 km,,,,,,XC 40,5,,,,151 g/km,,Nowe,147 000,,B3 Essential,,,,,,,5,Volvo,,,,SUV
,,IV (2012-2018),Automatyczna,2017,,2 500 cm3,,,Polska,,Prywatne,Hybryda,,,Metalik,197 KM,,,4x4 (dołączany automatycznie),,Brązowy,,85 000 km,,Tak,,,,RAV4,5,,,,,,Używane,102 400,,,,Tak,,Tak,Tak,,5,Toyota,,,,SUV
,,III (2015-2023),Automatyczna,2019,,1 968 cm3,,,,,Prywatne,Diesel,,,Perłowy,190 KM,,,Na przednie koła,,Biały,Tak,150 000 km,,Tak,,,3.9 l/100km,Superb,5,,,,116 g/km,,Używane,93 500,,2.0 TDI DSG Premium Edition,,,,Tak,,Tak,5,Skoda,"5,30 l/100km",,,Kombi
,,8T (2007-2016),Automatyczna,2012,,1 984 cm3,,,,,Prywatne,Benzyna,,,,211 KM,,,4x4 (stały),,Szary,,138 000 km,,Tak,styczeń 2013,,6.0 l/100km,A5,2,,,KR7RL91,164 g/km,,Używane,65 500,,2.0 TFSI Quattro S tronic,,Tak,,Tak,,,4,Audi,8 l/100km,,,Coupe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,I (2011-2018),Manualna,2010,,1 984 cm3,,,Niemcy,,Prywatne,Diesel,,,,163 KM,,,Na przednie koła,,Granatowy,Tak,205 000 km,,Tak,,,4.0 l/100km,V60,5,,,,132 g/km,,Używane,33 900,,D3,,Tak,,Tak,,Tak,5,Volvo,6 l/100km,,,Kombi
,,B8 (2007-2015),Automatyczna,2013,,1 968 cm3,,,Niemcy,,Prywatne,Diesel,,,,177 KM,,,Na przednie koła,,Czarny,,225 000 km,,,,,,A4,5,,,,,,Używane,52 000,,Avant 2.0 TDI DPF multitronic S line Sportpaket,,Tak,,Tak,,,5,Audi,"5,60 l/100km",,,Kombi
,,C8 (2018-),Automatyczna,2019,,1 984 cm3,,,Polska,,Firma,Benzyna,,,Metalik,245 KM,,6 miesięcy,4x4 (stały),,Czarny,Tak,118 000 km,Tak,Tak,14 maj 2019,,5.0 l/100km,A7,5,,Tak,PO8SM56,145 g/km,,Używane,219 500,,45 TFSI Quattro S tronic,,Tak,,Tak,Tak,Tak,5,Audi,8 l/100km,,,Sedan
,,II (2013-2022),Manualna,2014,,1 560 cm3,,,Belgia,,Prywatne,Diesel,,,,115 KM,,,Na przednie koła,,Granatowy,Tak,260 000 km,,,,,,Tourneo Connect,5,,,,,,Używane,34 900,,1.6 TDCi Trend,,,,Tak,,Tak,7,Ford,"5,60 l/100km",,,Minivan
,,W203 (2000-2007),Automatyczna,2004,,1 796 cm3,,,Niemcy,,Prywatne,Benzyna,,,Metalik,143 KM,,,Na tylne koła,,Inny kolor,Tak,281 146 km,,Tak,05 sierpień 2004,,,Klasa C,5,,,PBF1030,,,Używane,18 500,,,,,,Tak,,Tak,5,Mercedes-Benz,,,,Sedan
,,B6 (2005-2010),Manualna,2009,,1 968 cm3,,,,,Prywatne,Diesel,,,,140 KM,,,Na przednie koła,,Czarny,,361 000 km,,Tak,20 sierpień 2009,,4.0 l/100km,Passat,5,,,DBL RG06,156 g/km,,Używane,22 900,,2.0 TDI Sportline,,,,Tak,,,4,Volkswagen,7 l/100km,,,Coupe
,,V (2003-2009),Manualna,2006,,1 896 cm3,,,,,Prywatne,Diesel,,,,105 KM,,,Na przednie koła,,Czarny,,286 000 km,,,,,,Golf,5,,,,,,Używane,11 800,,V 1.9 TDI Comfortline,,Tak,,Tak,,,5,Volkswagen,6 l/100km,,,Kompakt
,,,Automatyczna,2010,,2 993 cm3,,,,,Prywatne,Diesel,,,Metalik,245 KM,,,4x4 (dołączany automatycznie),,Czarny,Tak,299 999 km,,Tak,10 grudzień 2010,,6.0 l/100km,5GT,5,,,Pz410xx,183 g/km,,Używane,65 000,,530d xDrive,,Tak,,Tak,,Tak,5,BMW,8 l/100km,,,Sedan
,,,Manualna,2009,,1 995 cm3,,,,,Prywatne,Diesel,,,Metalik,150 KM,,,4x4 (stały),,Inny kolor,,282 000 km,,Tak,22 grudzień 2009,,,Qashqai+2,5,,,ZDR37029,,,Używane,27 000,,,,Tak,,Tak,,,7,Nissan,,,,SUV
,,T9 (2014-2021),Manualna,2016,,1 199 cm3,,,,,Prywatne,Benzyna,,,,130 KM,,,Na przednie koła,,Czarny,,140 000 km,,Tak,29 kwiecień 2016,,4.0 l/100km,308,5,,,WPR3451L,115 g/km,,Używane,33 800,,1.2 PureTech Active S&S,,,,Tak,,,,Peugeot,6 l/100km,,,Kompakt
,,B11 (1982-1987),Manualna,1976,,1 200 cm3,,,,,Prywatne,Benzyna,,,Matowy,70 KM,,,Na tylne koła,,Biały,,54 000 km,,Tak,,,,Sunny,2,,,,,,Używane,42 500,,,,,,Tak,,,2,Nissan,,,,Auta małe
,,,Automatyczna,2015,,2 979 cm3,,,,,Prywatne,Benzyna,,,,326 KM,,,Na tylne koła,,Szary,,130 000 km,,Tak,,,,1M,2,,,,,,Używane,105 000,,,,Tak,,Tak,,,5,BMW,,,,Auta małe
,,,Automatyczna,2020,,3 605 cm3,,,Stany Zjednoczone,,Prywatne,Benzyna+LPG,,,Metalik,291 KM,,,Na przednie koła,,Szary,,54 400 km,,Tak,styczeń 2020,,,Pacifica,5,,,W133,,,Używane,125 900,,,,Tak,,Tak,,,7,Chrysler,,,,Minivan
,7 l/100km,III (2015-2023),Automatyczna,2024,,1 984 cm3,,,Polska,,Firma,Benzyna,,,Metalik,190 KM,,36 miesięcy,Na przednie koła,,Czarny,Tak,1 km,Tak,,,,,Superb,5,,Tak,,,,Nowe,165 900,,2.0 TSI Style DSG,,,,,,,5,Skoda,,,,Kombi
,,I (2013-2019),Manualna,2013,,898 cm3,,,,,Prywatne,Benzyna,,,,90 KM,,,Na przednie koła,,Beżowy,,104 000 km,,Tak,,,4.5 l/100km,Captur,5,,,,114 g/km,,Używane,40 900,,ENERGY TCe 90 Experience,,Tak,,Tak,,Tak,,Renault,6 l/100km,,,Auta miejskie
Tak,,W223 (2020-),Automatyczna,2021,,2 925 cm3,,,Polska,,Firma,Diesel,,,Perłowy,330 KM,,,4x4 (dołączany automatycznie),,Biały,Tak,42 000 km,Tak,Tak,19 listopad 2021,,,Klasa S,4,,Tak,TKN48884,,,Używane,549 900,,,,Tak,,Tak,Tak,Tak,5,Mercedes-Benz,,,,Sedan
,,G70 (2022-),Automatyczna,2023,,2 993 cm3,,,Polska,,Prywatne,Diesel,,,Perłowy,286 KM,,,4x4 (stały),,Biały,Tak,3 700 km,,Tak,,,,Seria 7,4,,,,,,Używane,635 000,200 000 km,740d xDrive mHEV M Sport sport,,Tak,,Tak,Tak,Tak,5,BMW,,,,Sedan
,,III (2015-2020),Manualna,2015,,1 591 cm3,,,,,Prywatne,Benzyna,,,,132 KM,,,Na przednie koła,,Biały,Tak,220 000 km,,Tak,02 styczeń 2016,,6.6 l/100km,Tucson,5,,,WRA2807J,165 g/km,,Używane,58 900,,1.6 GDi N Line 2WD,,Tak,,Tak,,Tak,5,Hyundai,"8,20 l/100km",,,SUV
,,,Automatyczna,2024,,1 969 cm3,,,Polska,,Firma,Benzyna,,,Metalik,250 KM,,24 miesięcy,4x4 (stały),,Czarny,Tak,5 km,Tak,,,,5.0 l/100km,V90 Cross Country,5,,Tak,,161 g/km,,Nowe,303 710,,B5 B AWD Plus,,,,Tak,,,5,Volvo,9 l/100km,,,Kombi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Automatyczna,2024,,1 969 cm3,,,Polska,,Firma,Benzyna,,,Metalik,250 KM,,24 miesięcy,4x4 (stały),,Czarny,Tak,5 km,Tak,,,,5.0 l/100km,V90 Cross Country,5,,Tak,,161 g/km,,Nowe,303 710,,B5 B AWD Plus,,,,Tak,,,5,Volvo,9 l/100km,,,Kombi
,,8P (2003-2012),Manualna,2006,,1 968 cm3,,,,,Prywatne,Diesel,,,,140 KM,,,Na przednie koła,,Srebrny,,323 500 km,,Tak,,,4.0 l/100km,A3,3,,,,,,Używane,8 000,,2.0 TDI Attraction,,,,Tak,,,,Audi,7 l/100km,,,Kompakt
,,F5 (2016-),Automatyczna,2017,,1 984 cm3,,,,,Firma,Benzyna,,,Metalik,252 KM,,,4x4 (dołączany automatycznie),,Inny kolor,,95 000 km,,,,,5.6 l/100km,A5,5,,,,147 g/km,,Używane,69 000,,Sportback 2.0 TFSI quattro S tronic sport,,,,Tak,,,5,Audi,8 l/100km,Tak,,Sedan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H (2004-2014),Manualna,2007,,1 686 cm3,,,,,Prywatne,Diesel,,,,125 KM,,,Na przednie koła,,Szary,,293 233 km,,Tak,,,4.0 l/100km,Astra,3,,,,146 g/km,,Używane,9 900,,III GTC 1.7 CDTI Edition,,,,Tak,,,5,Opel,6 l/100km,,,Auta małe
,,III (2006-2012),Manualna,2010,,2 199 cm3,,,Polska,,Prywatne,Diesel,,,Metalik,150 KM,,,4x4 (dołączany automatycznie),,Brązowy,Tak,303 264 km,,Tak,17 czerwiec 2010,,,CR-V,5,,,DSW49742,,,Używane,38 500,,2.2i-DTEC Elegance,,Tak,,Tak,,,5,Honda,8 l/100km,,,SUV
,,III (1986-1994),Manualna,1996,,2 496 cm3,,,Polska,,Prywatne,Diesel,,,Matowy,69 KM,,,,,Czerwony,Tak,257 000 km,,Tak,,,,Transit,4,,,,,,Używane,12 500,,,,Tak,,Tak,,,2,Ford,,,,Minivan
,,VII (2012-2020),Automatyczna,2018,,,36 kWh,,,,Prywatne,Elektryczny,,,,136 KM,,,Na przednie koła,,Czarny,,119 000 km,,,,,,Golf,5,,,,,200 km,Używane,79 500,,e-Golf,,Tak,,Tak,Tak,Tak,5,Volkswagen,,,18 kWh/100km,Kompakt
,,F34 (2013-2021),Automatyczna,2014,,1 995 cm3,,,Szwecja,,Prywatne,Diesel,,,Metalik,184 KM,,,4x4 (stały),,Niebieski,Tak,198 220 km,Tak,,,,,3GT,5,Tak,,,,,Używane,77 999,,320d xDrive GT Sport-Aut,,,,Tak,,Tak,5,BMW,6 l/100km,,,SUV
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tak,,,Automatyczna,2017,,3 605 cm3,,,,,Prywatne,Benzyna,,,Perłowy,286 KM,,,,,Beżowy,,135 000 km,,,,,,Pacifica,5,,,,,,Używane,97 900,,,,,,Tak,,,7,Chrysler,,,,Minivan
,,,Manualna,2009,,1 360 cm3,,,,,Prywatne,Benzyna,,,Perłowy,73 KM,,,Na przednie koła,,Czarny,Tak,128 119 km,,,10 styczeń 2009,,,C2,3,,,,,,Używane,11 800,,1.4 VTR,,,,Tak,,,4,Citroën,7 l/100km,,,Auta małe
,,III (2008-),Manualna,2012,,1 997 cm3,,,,,Prywatne,Diesel,,,,163 KM,,,,,Czarny,,370 379 km,,,,,,C5,5,,,,,,Używane,23 000,,2.0 HDi Exclusive,,,,,,,,Citroën,6 l/100km,,,Sedan
,,,Automatyczna,1988,,2 996 cm3,,,,,Prywatne,Diesel,,,,113 KM,,,,,Szary,,400 000 km,,Tak,,,,W124 (1984-1993),5,,,PO8MG73,,,Używane,16 800,,,,,,Tak,,,,Mercedes-Benz,,,,Sedan
,,P5 (2021-),Automatyczna,2023,,1 199 cm3,,,,,Firma,Benzyna,,,,130 KM,,,Na przednie koła,,Szary,Tak,1 km,,,,,,308,5,,,,,,Nowe,139 400,,1.2 PureTech GT S&S EAT8,,,,,,,5,Peugeot,,,,Kombi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B8 (2014-2023),Automatyczna,2018,,1 968 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,150 KM,,,Na przednie koła,,Srebrny,,129 000 km,,Tak,,,4.0 l/100km,Passat,5,,,,122 g/km,,Używane,89 000,129 000 km,2.0 TDI BMT Highline DSG,,Tak,,Tak,,,5,Volkswagen,5 l/100km,,,Kombi
,,,Automatyczna,2010,,3 956 cm3,,,Stany Zjednoczone,,Prywatne,Benzyna+LPG,,,Metalik,239 KM,,,4x4 (stały),Tak,Inny kolor,Tak,136 000 km,,Tak,,,,FJ,5,,,,,,Używane,175 000,,,,Tak,,Tak,,Tak,5,Toyota,,,,SUV
,,F10/F11 (2009-2017),Automatyczna,2010,,2 993 cm3,,,,,Prywatne,Diesel,,,Metalik,204 KM,,,Na tylne koła,,Niebieski,Tak,265 000 km,,Tak,,,,Seria 5,5,,,,,,Używane,55 700,,,,Tak,,Tak,,,5,BMW,,,,Sedan
,,W167 (2019-),Automatyczna,2021,,3 982 cm3,,,Polska,,Firma,Benzyna,,,Metalik,572 KM,,,4x4 (dołączany automatycznie),,Biały,Tak,32 458 km,Tak,Tak,04 marzec 2022,,,GLE,5,,Tak,WND6100A,,,Używane,599 900,,,,Tak,,Tak,Tak,Tak,5,Mercedes-Benz,,,,SUV
,,8V (2012-),Manualna,2017,,999 cm3,,,Niemcy,,Prywatne,Benzyna,,,,115 KM,,,Na przednie koła,,Srebrny,,46 000 km,,Tak,,,3.0 l/100km,A3,4,,,,103 g/km,,Używane,69 900,,1.0 TFSI,,Tak,,Tak,,Tak,5,Audi,5 l/100km,,,Auta małe
,,,Manualna,2013,,1 199 cm3,,,,,Prywatne,Benzyna,,,,82 KM,,,,,Biały,,71 459 km,,Tak,09 styczeń 2014,,,208,5,,,dc 941 bg,,,Używane,29 500,,PureTech 82 Urban Move,,,,Tak,,,,Peugeot,"5,50 l/100km",,,Auta miejskie
,,,Automatyczna,2014,,,85 kWh,,,,Prywatne,Elektryczny,,,Perłowy,476 KM,,,,,Czerwony,Tak,239 000 km,,,,,,Model S,5,,,,,350 km,Używane,113 775,,Performance,,Tak,,Tak,,Tak,5,Tesla,,,25 kWh/100km,Sedan
,,V (2009-2017),Manualna,2014,,1 197 cm3,,,Niemcy,,Prywatne,Benzyna,,,Metalik,90 KM,,,Na przednie koła,,Beżowy,Tak,38 331 km,,Tak,,,4.0 l/100km,Polo,5,,,,107 g/km,,Używane,30 900,,1.2 TSI Comfortline,,,,Tak,,Tak,5,Volkswagen,6 l/100km,,,Auta małe
,,W167 (2019-),Automatyczna,2023,,1 993 cm3,,,Polska,,Firma,Diesel,,,Metalik,269 KM,,24 miesięcy,4x4 (stały),,Szary,Tak,1 km,Tak,,,,,GLE,5,,Tak,,,,Nowe,412 000,,300 d mHEV 4-Matic AMG Line,,,,,,,5,Mercedes-Benz,,,,SUV
,,III (2018-),Manualna,2019,,998 cm3,,,,,Prywatne,Benzyna,,,,120 KM,,,Na przednie koła,,Biały,,62 000 km,,Tak,29 marzec 2019,,5.0 l/100km,Ceed,5,,,FF-706-NA,133 g/km,,Używane,29 500,,1.0 T-GDI 120 OPF Nightline Edition,,,,Tak,,,,Kia,"7,20 l/100km",Tak,,Auta miejskie
Tak,,,Manualna,2023,,999 cm3,,,Polska,,Firma,Benzyna,,,,110 KM,,,Na przednie koła,,Srebrny,Tak,8 km,Tak,,,,,Arona,5,,Tak,,,,Nowe,105 044,,1.0 TSI FR S&S,,,,Tak,,,5,Seat,,,,SUV
,8 l/100km,,Automatyczna,2019,,1 499 cm3,,,,,Prywatne,Benzyna,,,Metalik,160 KM,,,Na przednie koła,,Srebrny,,91 500 km,,,,,6 l/100km,Fusion,4,,,,,,Używane,65 000,,,,Tak,,Tak,,,5,Ford,9 l/100km,,,Sedan
,,8V (2012-),Automatyczna,2018,,1 498 cm3,,,,,Prywatne,Benzyna,,,,150 KM,,,Na przednie koła,,Czarny,,74 000 km,,Tak,18 październik 2018,,4.0 l/100km,A3,4,,,Zmy250Ea,109 g/km,,Używane,92 000,,1.5 TFSI Sport S tronic,,,,Tak,,,5,Audi,6 l/100km,,,Sedan
,,II (2007-2014),Manualna,2008,,1 390 cm3,,,Polska,,Prywatne,Benzyna,,,Metalik,85 KM,,,Na przednie koła,,Inny kolor,Tak,96 950 km,,Tak,27 wrzesień 2008,,5.0 l/100km,Fabia,5,,,POLSKA,155 g/km,,Używane,20 450,,1.4 16V Style,,Tak,,Tak,,Tak,5,Skoda,8 l/100km,,,Kompakt
,,,Automatyczna,2022,,,,,,,Firma,Elektryczny,,,Metalik,360 KM,,,4x4 (dołączany automatycznie),,Czarny,Tak,1 km,Tak,,,,,EQS,5,,,,,,Nowe,499 000,,,,,,Tak,,Tak,5,Mercedes-Benz,,,,SUV
,,W211 (2002-2009),Manualna,2007,,2 148 cm3,,,,,Prywatne,Diesel,,,,170 KM,,,,,Czarny,,239 000 km,,,,,,Klasa E,5,,,,,,Używane,44 900,,220 CDI Avantgarde,,,,Tak,,,5,Mercedes-Benz,9 l/100km,,,Kombi
,,,Manualna,2018,,998 cm3,,,Polska,,Firma,Benzyna,,,Metalik,125 KM,,,Na przednie koła,,Biały,,51 794 km,Tak,,30 kwiecień 2018,,,EcoSport,5,Tak,,,,,Używane,67 600,,,,Tak,,Tak,,,5,Ford,,,,Kompakt
,,,Manualna,2010,,1 397 cm3,,,,,Prywatne,Benzyna+LPG,,,,95 KM,,,,,Czarny,,111 000 km,,Tak,15 lipiec 2011,,,C3 Picasso,5,,,SBE 7091F,,,Używane,17 600,,1.4i Attraction,,,,Tak,,,,Citroën,8 l/100km,,,Minivan
,,Mk4 (2007-2014),Manualna,2013,,1 997 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,140 KM,,,Na przednie koła,,Czarny,Tak,219 000 km,,,,,,Mondeo,5,,,,,,Używane,26 700,,2.0 TDCi Titanium,,Tak,,Tak,,,5,Ford,6 l/100km,,,Kombi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,II (2007-2014),Manualna,2008,,1 390 cm3,,,Polska,,Prywatne,Benzyna,,,Metalik,85 KM,,,Na przednie koła,,Inny kolor,Tak,96 950 km,,Tak,27 wrzesień 2008,,5.0 l/100km,Fabia,5,,,POLSKA,155 g/km,,Używane,20 450,,1.4 16V Style,,Tak,,Tak,,Tak,5,Skoda,8 l/100km,,,Kompakt
,,,Automatyczna,2022,,,,,,,Firma,Elektryczny,,,Metalik,360 KM,,,4x4 (dołączany automatycznie),,Czarny,Tak,1 km,Tak,,,,,EQS,5,,,,,,Nowe,499 000,,,,,,Tak,,Tak,5,Mercedes-Benz,,,,SUV
,,W211 (2002-2009),Manualna,2007,,2 148 cm3,,,,,Prywatne,Diesel,,,,170 KM,,,,,Czarny,,239 000 km,,,,,,Klasa E,5,,,,,,Używane,44 900,,220 CDI Avantgarde,,,,Tak,,,5,Mercedes-Benz,9 l/100km,,,Kombi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manualna,2018,,998 cm3,,,Polska,,Firma,Benzyna,,,Metalik,125 KM,,,Na przednie koła,,Biały,,51 794 km,Tak,,30 kwiecień 2018,,,EcoSport,5,Tak,,,,,Używane,67 600,,,,Tak,,Tak,,,5,Ford,,,,Kompakt
,,,Manualna,2010,,1 397 cm3,,,,,Prywatne,Benzyna+LPG,,,,95 KM,,,,,Czarny,,111 000 km,,Tak,15 lipiec 2011,,,C3 Picasso,5,,,SBE 7091F,,,Używane,17 600,,1.4i Attraction,,,,Tak,,,,Citroën,8 l/100km,,,Minivan
,,Mk4 (2007-2014),Manualna,2013,,1 997 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,140 KM,,,Na przednie koła,,Czarny,Tak,219 000 km,,,,,,Mondeo,5,,,,,,Używane,26 700,,2.0 TDCi Titanium,,Tak,,Tak,,,5,Ford,6 l/100km,,,Kombi
,,I (2006-2013),Manualna,2011,,1 560 cm3,,,,,Prywatne,Diesel,,,Metalik,112 KM,,,Na przednie koła,,Szary,,228 000 km,,Tak,17 październik 2011,,,C4 Picasso,5,,,SR6286S,,,Używane,17 900,,,,Tak,,Tak,,Tak,5,Citroën,,,,Minivan
,,B8 (2007-2015),Manualna,2011,,1 968 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,120 KM,,,Na przednie koła,,Srebrny,Tak,155 000 km,,,,,,A4,5,Tak,,,,,Używane,36 999,,Avant 2.0 TDI DPF Ambition,,,,Tak,Tak,Tak,5,Audi,"5,60 l/100km",,,Kombi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,I (2017-2023),Automatyczna,2019,,1 591 cm3,,,Polska,,Prywatne,Benzyna,,,Metalik,177 KM,,,Na przednie koła,,Czerwony,Tak,78 000 km,,Tak,26 marzec 2020,,,Kona,5,,,WX4952C,,,Używane,82 000,,1.6 T-GDI Comfort DCT,,Tak,25 Marca 2025,Tak,,Tak,5,Hyundai,,,,SUV
,,III (2015-2023),Automatyczna,2018,,1 968 cm3,,,Polska,,Prywatne,Diesel,,,,190 KM,,,4x4 (dołączany automatycznie),,Szary,Tak,180 000 km,,Tak,06 czerwiec 2018,,,Superb,5,,,SK436NE,,,Używane,98 500,,2.0 TDI 4x4 Style DSG,,Tak,,Tak,Tak,Tak,,Skoda,,,,Kombi
,,II (2015-),Automatyczna,2017,,2 995 cm3,,,,,Prywatne,Benzyna,,,,333 KM,,,4x4 (stały),,Biały,,98 500 km,,Tak,styczeń 2017,,6.0 l/100km,Q7,5,,,WZY 40407,179 g/km,,Używane,150 000,,3.0 TFSI Quattro Tiptronic,,Tak,,Tak,,,7,Audi,9 l/100km,,,SUV
,,II (2003-2009),Manualna,2004,,1 598 cm3,,,,,Prywatne,Benzyna,,,,112 KM,,,Na przednie koła,,Inny kolor,,194 000 km,,Tak,13 luty 2004,,6.0 l/100km,Scenic,5,,,WJ9240J,182 g/km,,Używane,8 900,,1.6 16V Alize,,Tak,,Tak,,,5,Renault,10 l/100km,,,Minivan
,,,Manualna,2006,,1 198 cm3,,,,,Prywatne,Benzyna,,,,64 KM,,,,,Czerwony,,195 000 km,,,,,,Fabia,5,Tak,,,,,Używane,4 900,,,,,,Tak,,,,Skoda,,Tak,,Auta miejskie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,K (2015-2021),Manualna,2016,,1 399 cm3,,,Polska,,Prywatne,Benzyna,,,Metalik,150 KM,,,Na przednie koła,,Szary,Tak,240 000 km,,Tak,30 sierpień 2016,,4.0 l/100km,Astra,5,,,CTR27933,132 g/km,,Używane,39 900,,V 1.4 T Dynamic,,Tak,,Tak,Tak,Tak,5,Opel,7 l/100km,,,Kombi
,,II (2006-),Automatyczna,2007,,2 521 cm3,,,,,Prywatne,Benzyna+LPG,,,,200 KM,,,,,Srebrny,,270 871 km,,Tak,23 marzec 2007,,,S80,4,,,WX436XP,,,Używane,28 500,,2.5T Executive,,,,Tak,,,5,Volvo,13 l/100km,,,Sedan
,,IV (2012-2018),Automatyczna,2014,,1 997 cm3,,,Polska,,Prywatne,Benzyna,,,Metalik,155 KM,,,4x4 (dołączany automatycznie),,Czarny,Tak,232 800 km,,Tak,19 styczeń 2015,,6.0 l/100km,CR-V,5,,,WPI06070J,175 g/km,,Używane,54 900,,2.0 Elegance,,Tak,,Tak,,Tak,5,Honda,10 l/100km,,,SUV
,,,Automatyczna,2020,,2 993 cm3,,,Polska,,Prywatne,Diesel,,,,400 KM,,,,,Biały,Tak,56 000 km,,Tak,25 marzec 2021,,,X5 M,5,,,SG3931Y,,,Używane,329 000,,M50d,,Tak,,Tak,Tak,Tak,5,BMW,,,,Kombi
,,W222 (2013-2020),Automatyczna,2018,,2 925 cm3,,,,,Prywatne,Diesel,,,Metalik,286 KM,,,4x4 (stały),,Czarny,Tak,131 000 km,,Tak,05 kwiecień 2018,,,Klasa S,4,,,S8 III88,,,Używane,315 000,,350 d 4-Matic L 9G-TRONIC,,Tak,,Tak,,Tak,5,Mercedes-Benz,,,,Sedan
,,II (2013-),Automatyczna,2015,,1 560 cm3,,,,,Prywatne,Diesel,,,Metalik,115 KM,,,Na przednie koła,,Bordowy,,196 360 km,,Tak,,,3.0 l/100km,C4 Picasso,5,,,ds-565-fv,104 g/km,,Używane,41 500,,1.6 e-HDi Exclusive ETG6,,,,Tak,,,5,Citroën,4 l/100km,,,Minivan
,,,Automatyczna,2019,,1 968 cm3,,,Polska,,Prywatne,Diesel,,,Metalik,190 KM,,,Na przednie koła,,Czarny,Tak,135 000 km,,Tak,,,,Arteon,5,,,,,,Używane,130 000,,2.0 TDI SCR R-Line Edition DSG,,Tak,,Tak,,Tak,5,Volkswagen,,,,Sedan
,,,Manualna,2005,,1 995 cm3,,,,,Prywatne,Diesel,,,,90 KM,,,,,Biały,,311 299 km,,Tak,24 maj 2005,,,Primastar,4,,,ZK 4350C,,,Używane,9 500,,,,Tak,,Tak,,,3,Nissan,,Tak,,Kombi
Tak,,,Automatyczna,2024,,999 cm3,,,,,Firma,Benzyna,,,Metalik,115 KM,,,Na przednie koła,,Czarny,Tak,5 km,Tak,,,,,Scala,5,,Tak,,,,Nowe,118 700,,,,,,,,,5,Skoda,,,,Kompakt
,,III (2010-2015),Manualna,2015,,1 998 cm3,,,Niemcy,,Firma,Benzyna,,,Metalik,166 KM,,3 miesięcy,Na przednie koła,,Czarny,Tak,129 000 km,Tak,,25 czerwiec 2015,,,Sportage,5,Tak,,,,,Używane,63 999,,2.0 GDI 2WD Spirit,,Tak,,Tak,Tak,Tak,5,Kia,"10,60 l/100km",,,SUV
,,I (2011-2018),Manualna,2014,,1 969 cm3,,,,,Prywatne,Diesel,,,Metalik,181 KM,,,Na przednie koła,,Czarny,Tak,280 000 km,,Tak,04 czerwiec 2014,,3.0 l/100km,V60,5,,,LU041AS,105 g/km,,Używane,35 900,,D4 Drive-E Momentum,,Tak,,Tak,,,5,Volvo,4 l/100km,,,Kombi
